,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,52662,Benedictine ,2020,2,B,District,16,285
1,29991,Piketon Jr/Sr High School,2020,2,B,District,20,292
2,10769,Eastern High School,2020,2,B,District,18,310
3,32607,Rootstown/Ward Davis Bldg High School,2020,2,B,District,13,314
4,119,Oak Hill Middle/High School,2020,2,B,District,19,317
5,10439,Elmwood High School,2020,2,B,District,6,323
6,37671,Tuslaw High School,2020,2,B,District,4,331
7,37671,Tuslaw High School,2020,2,B,Regional,11,331
8,30304,Pleasant High School,2020,2,B,District,6,337
9,36582,Swanton High School,2020,2,B,District,8,342
10,13110,James A Garfield High School,2020,2,B,District,9,345
11,29454,Paulding High School,2020,2,B,District,11,346
12,13243,Genoa Area High School,2020,2,B,District,2,352
13,13243,Genoa Area High School,2020,2,B,Regional,9,352
14,27854,Northwest High School,2020,2,B,District,3,352
15,27854,Northwest High School,2020,2,B,Regional,5,352
16,27854,Northwest High School,2020,2,B,State,11,352
17,9779,Eastwood I High School,2020,2,B,District,4,357
18,6312,Chippewa Jr./Sr. High School,2020,2,B,District,9,359
19,25080,Minford High School,2020,2,B,District,16,359
20,31732,Ridgewood High School,2020,2,B,District,15,360
21,38760,West Liberty-Salem Middle/High School,2020,2,B,District,2,361
22,38760,West Liberty-Salem Middle/High School,2020,2,B,Regional,4,361
23,38760,West Liberty-Salem Middle/High School,2020,2,B,State,12,361
24,8995,East Clinton High School,2020,2,B,District,10,362
25,3863,Brookville High School,2020,2,B,District,6,366
26,24984,Milton-Union High School,2020,2,B,District,4,366
27,28779,Orrville High School,2020,2,B,District,16,366
28,4507,Harrison Central Jr./Sr. High School,2020,2,B,District,10,371
29,11171,Fairless High School,2020,2,B,District,10,372
30,20420,Liberty Union High School,2020,2,B,District,10,372
31,41319,Willard High School,2020,2,B,District,10,372
32,10041,Edison High School,2020,2,B,District,7,375
33,26393,North Union High School,2020,2,B,District,7,378
34,7211,Conneaut High School,2020,2,B,District,16,379
35,17194,Huron High School,2020,2,B,District,2,385
36,17194,Huron High School,2020,2,B,Regional,4,385
37,38414,Versailles High School,2020,2,B,District,7,390
38,28860,Otsego High School,2020,2,B,District,7,392
39,37564,Triway High School,2020,2,B,District,14,392
40,19364,River Valley High School,2020,2,B,District,11,394
41,19216,Kirtland High School,2020,2,B,District,11,395
42,6635,Clermont Northeastern High School,2020,2,B,District,7,399
43,17491,Ironton High School,2020,2,B,District,13,399
44,7724,Crestwood High School,2020,2,B,District,13,400
45,2576,Bethel High School,2020,2,B,District,3,403
46,2576,Bethel High School,2020,2,B,Regional,10,403
47,38042,Utica High School,2020,2,B,District,5,404
48,18960,Keystone High School,2020,2,B,District,5,407
49,18960,Keystone High School,2020,2,B,Regional,9,407
50,27763,Northridge High School,2020,2,B,District,8,409
51,42572,Zane Trace High School,2020,2,B,District,12,410
52,23036,Martins Ferry High School,2020,2,B,District,3,414
53,23036,Martins Ferry High School,2020,2,B,Regional,9,414
54,21956,Madeira High School,2020,2,B,District,2,415
55,21956,Madeira High School,2020,2,B,Regional,9,415
56,37846,Union Local High School,2020,2,B,District,7,416
57,52704,Bishop Ready ,2020,2,B,District,12,421
58,41202,Wickliffe High School,2020,2,B,District,14,423
59,19661,Lakeview High School,2020,2,B,District,7,424
60,14571,Greenon High School,2020,2,B,District,7,428
61,52910,Columbus Academy ,2020,2,B,District,4,431
62,17905,Jefferson Area Sr High School,2020,2,B,District,8,431
63,2568,Bethel Tate High School,2020,2,B,District,5,432
64,12773,Galion High School,2020,2,B,District,9,432
65,34256,Shawnee Middle School/High School,2020,2,B,District,4,432
66,34256,Shawnee Middle School/High School,2020,2,B,Regional,11,432
67,17343,Indian Lake High School,2020,2,B,District,11,433
68,4911,Carlisle High School,2020,2,B,District,12,435
69,29843,Philo High School,2020,2,B,District,14,436
70,32763,Rossford High School,2020,2,B,District,5,436
71,40683,Westfall High School,2020,2,B,District,10,443
72,25056,Minerva High School,2020,2,B,District,5,447
73,25056,Minerva High School,2020,2,B,Regional,16,447
